entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
National Anthem,0.009,0.005,0.006,0.005,0.006,0.004,0.004,0.004,0.008,0.004,0.006,0.004,0.006,0.004,0.008,0.006,0.002861
Putin,0.000,0.004,0.007,0.001,0.002,0.002,0.001,0.003,0.002,0.002,0.005,0.007,0.008,0.010,0.007,0.007,0.002861
Middle Class,0.000,0.004,0.002,0.002,0.004,0.003,0.005,0.002,0.006,0.006,0.004,0.019,0.004,0.006,0.005,0.020,0.002856
Confederate states,0.018,0.010,0.008,0.010,0.006,0.009,0.007,0.006,0.006,0.006,0.007,0.007,0.010,0.014,0.008,0.008,0.002815
Genetically modified organism,0.004,0.005,0.004,0.003,0.003,0.003,0.003,0.004,0.006,0.009,0.012,0.011,0.010,0.012,0.008,0.007,0.002797
Burma,0.010,0.006,0.007,0.007,0.007,0.005,0.005,0.006,0.010,0.009,0.011,0.009,0.009,0.007,0.007,0.005,0.002742
National Institutes of Health,0.014,0.020,0.015,0.012,0.012,0.017,0.012,0.010,0.009,0.008,0.008,0.008,0.006,0.008,0.006,0.003,0.002699
Sick leave,0.000,0.000,0.000,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.006,0.004,0.004,0.006,0.003,0.002616
Little League,0.009,0.012,0.012,0.014,0.012,0.015,0.012,0.014,0.012,0.011,0.010,0.009,0.007,0.010,0.008,0.007,0.002571
Lockheed,0.018,0.016,0.015,0.013,0.013,0.012,0.011,0.009,0.008,0.006,0.006,0.007,0.005,0.007,0.006,0.005,0.002547
